"OLD URL (with id)","NEW URL"
taxonomy/term/445,/about-us/state-authorization-licensure/licensure/state/me
taxonomy/term/446,/about-us/state-authorization-licensure/licensure/state/md
taxonomy/term/447,/about-us/state-authorization-licensure/licensure/state/ma
taxonomy/term/448,/about-us/state-authorization-licensure/licensure/state/mi
taxonomy/term/449,/about-us/state-authorization-licensure/licensure/state/mn
taxonomy/term/450,/about-us/state-authorization-licensure/licensure/state/ms
taxonomy/term/451,/about-us/state-authorization-licensure/licensure/state/mo
taxonomy/term/452,/about-us/state-authorization-licensure/licensure/state/mt
taxonomy/term/453,/about-us/state-authorization-licensure/licensure/state/ne
taxonomy/term/454,/about-us/state-authorization-licensure/licensure/state/nv
taxonomy/term/455,/about-us/state-authorization-licensure/licensure/state/nh
taxonomy/term/456,/about-us/state-authorization-licensure/licensure/state/nj
taxonomy/term/457,/about-us/state-authorization-licensure/licensure/state/nm
taxonomy/term/458,/about-us/state-authorization-licensure/licensure/state/ny
taxonomy/term/459,/about-us/state-authorization-licensure/licensure/state/nc
taxonomy/term/460,/about-us/state-authorization-licensure/licensure/state/nd
taxonomy/term/461,/about-us/state-authorization-licensure/licensure/state/oh
taxonomy/term/462,/about-us/state-authorization-licensure/licensure/state/ok
taxonomy/term/463,/about-us/state-authorization-licensure/licensure/state/or
taxonomy/term/464,/about-us/state-authorization-licensure/licensure/state/pa
taxonomy/term/465,/about-us/state-authorization-licensure/licensure/state/ri
taxonomy/term/466,/about-us/state-authorization-licensure/licensure/state/sc
taxonomy/term/467,/about-us/state-authorization-licensure/licensure/state/sd
taxonomy/term/468,/about-us/state-authorization-licensure/licensure/state/tn
taxonomy/term/469,/about-us/state-authorization-licensure/licensure/state/tx
taxonomy/term/470,/about-us/state-authorization-licensure/licensure/state/ut
taxonomy/term/471,/about-us/state-authorization-licensure/licensure/state/vt
taxonomy/term/472,/about-us/state-authorization-licensure/licensure/state/va
taxonomy/term/473,/about-us/state-authorization-licensure/licensure/state/wa
taxonomy/term/474,/about-us/state-authorization-licensure/licensure/state/wv
taxonomy/term/475,/about-us/state-authorization-licensure/licensure/state/wi
taxonomy/term/476,/about-us/state-authorization-licensure/licensure/state/wy
taxonomy/term/477,/about-us/state-authorization-licensure/licensure/state/pr
taxonomy/term/478,/taxonomy/term/394
taxonomy/term/479,/taxonomy/term/393
taxonomy/term/480,/taxonomy/term/396
taxonomy/term/481,/taxonomy/term/395
taxonomy/term/482,/taxonomy/term/397
taxonomy/term/483,/taxonomy/term/398
taxonomy/term/484,/taxonomy/term/399
taxonomy/term/485,/taxonomy/term/401
taxonomy/term/486,/taxonomy/term/400
taxonomy/term/487,/taxonomy/term/402
taxonomy/term/488,/taxonomy/term/526
taxonomy/term/489,/taxonomy/term/403
taxonomy/term/490,/taxonomy/term/404
taxonomy/term/491,/taxonomy/term/445
taxonomy/term/492,/taxonomy/term/406
taxonomy/term/493,/taxonomy/term/336
taxonomy/term/494,/taxonomy/term/407
taxonomy/term/495,/taxonomy/term/405
taxonomy/term/496,/taxonomy/term/408
taxonomy/term/497,/taxonomy/term/409
taxonomy/term/498,/taxonomy/term/410
taxonomy/term/499,/taxonomy/term/413
taxonomy/term/500,/taxonomy/term/412
taxonomy/term/501,/taxonomy/term/411
taxonomy/term/502,/taxonomy/term/414
taxonomy/term/503,/taxonomy/term/415
taxonomy/term/504,/taxonomy/term/417
taxonomy/term/505,/taxonomy/term/416
taxonomy/term/506,/taxonomy/term/418
taxonomy/term/507,/taxonomy/term/421
taxonomy/term/508,/taxonomy/term/425
taxonomy/term/509,/taxonomy/term/422
taxonomy/term/510,/taxonomy/term/524
taxonomy/term/511,/taxonomy/term/352
taxonomy/term/512,/taxonomy/term/423
taxonomy/term/513,/taxonomy/term/424
taxonomy/term/514,/taxonomy/term/426
taxonomy/term/515,/taxonomy/term/356
taxonomy/term/516,/taxonomy/term/533
taxonomy/term/517,/taxonomy/term/419
taxonomy/term/518,/taxonomy/term/420
taxonomy/term/519,/taxonomy/term/427
taxonomy/term/520,/taxonomy/term/428
taxonomy/term/521,/taxonomy/term/429
taxonomy/term/522,/taxonomy/term/430
taxonomy/term/523,/taxonomy/term/360
taxonomy/term/524,/taxonomy/term/431
taxonomy/term/525,/taxonomy/term/432
taxonomy/term/526,/taxonomy/term/433
taxonomy/term/527,/taxonomy/term/363
taxonomy/term/528,/taxonomy/term/434
taxonomy/term/529,/taxonomy/term/435
taxonomy/term/530,/taxonomy/term/436
taxonomy/term/531,/taxonomy/term/437
taxonomy/term/532,/taxonomy/term/367
taxonomy/term/533,/taxonomy/term/525
taxonomy/term/534,/taxonomy/term/440
taxonomy/term/535,/taxonomy/term/444
taxonomy/term/536,/taxonomy/term/442
taxonomy/term/537,/taxonomy/term/498
taxonomy/term/538,/taxonomy/term/372
taxonomy/term/539,/taxonomy/term/443
taxonomy/term/540,/taxonomy/term/441
taxonomy/term/541,/taxonomy/term/438
taxonomy/term/542,/taxonomy/term/494
taxonomy/term/543,/taxonomy/term/439
taxonomy/term/544,/about-us/state-authorization-licensure/licensure/state/vi
taxonomy/term/545,/taxonomy/term/197
taxonomy/term/546,/taxonomy/term/195
taxonomy/term/547,/taxonomy/term/201
taxonomy/term/548,/taxonomy/term/199
taxonomy/term/549,/taxonomy/term/203
taxonomy/term/550,/taxonomy/term/205
taxonomy/term/551,/taxonomy/term/207
taxonomy/term/552,/taxonomy/term/211
taxonomy/term/553,/taxonomy/term/209
taxonomy/term/554,/taxonomy/term/213
taxonomy/term/555,/taxonomy/term/215
taxonomy/term/556,/taxonomy/term/217
taxonomy/term/557,/taxonomy/term/221
taxonomy/term/558,/taxonomy/term/223
taxonomy/term/559,/taxonomy/term/225
taxonomy/term/560,/taxonomy/term/219
taxonomy/term/561,/taxonomy/term/227
taxonomy/term/562,/taxonomy/term/229
taxonomy/term/563,/taxonomy/term/231
taxonomy/term/564,/taxonomy/term/237
taxonomy/term/565,/taxonomy/term/235
taxonomy/term/566,/taxonomy/term/233
taxonomy/term/567,/taxonomy/term/239
taxonomy/term/568,/taxonomy/term/241
taxonomy/term/569,/taxonomy/term/245
taxonomy/term/570,/taxonomy/term/243
taxonomy/term/571,/taxonomy/term/247
taxonomy/term/572,/taxonomy/term/253
taxonomy/term/573,/taxonomy/term/261
taxonomy/term/574,/taxonomy/term/255
taxonomy/term/575,/taxonomy/term/257
taxonomy/term/576,/taxonomy/term/259
taxonomy/term/577,/taxonomy/term/263
taxonomy/term/578,/taxonomy/term/249
taxonomy/term/579,/taxonomy/term/251
taxonomy/term/580,/taxonomy/term/265
taxonomy/term/581,/taxonomy/term/267
taxonomy/term/582,/taxonomy/term/269
taxonomy/term/583,/taxonomy/term/271
taxonomy/term/584,/taxonomy/term/273
taxonomy/term/585,/taxonomy/term/275
taxonomy/term/586,/taxonomy/term/277
taxonomy/term/587,/taxonomy/term/279
taxonomy/term/588,/taxonomy/term/281
taxonomy/term/589,/taxonomy/term/283
taxonomy/term/590,/taxonomy/term/289
taxonomy/term/591,/taxonomy/term/285
taxonomy/term/592,/taxonomy/term/291
taxonomy/term/593,/taxonomy/term/287
taxonomy/term/594,/taxonomy/term/293
taxonomy/term/595,/taxonomy/term/297
taxonomy/term/596,/taxonomy/term/295
taxonomy/term/597,/taxonomy/term/299
taxonomy/term/598,/taxonomy/term/528
taxonomy/term/599,/taxonomy/term/530
taxonomy/term/600,/taxonomy/term/527
taxonomy/term/601,/taxonomy/term/529
taxonomy/term/602,/taxonomy/term/532
taxonomy/term/603,/taxonomy/term/531
taxonomy/term/604,/taxonomy/term/534
taxonomy/term/605,/taxonomy/term/535
taxonomy/term/606,/taxonomy/term/536
taxonomy/term/607,/taxonomy/term/323
taxonomy/term/608,/taxonomy/term/353
taxonomy/term/609,/taxonomy/term/322
taxonomy/term/610,/taxonomy/term/325
taxonomy/term/611,/taxonomy/term/324
taxonomy/term/612,/taxonomy/term/326
taxonomy/term/613,/taxonomy/term/327
taxonomy/term/614,/taxonomy/term/328
taxonomy/term/615,/taxonomy/term/330
taxonomy/term/616,/taxonomy/term/329
taxonomy/term/617,/taxonomy/term/331
taxonomy/term/618,/taxonomy/term/332
taxonomy/term/619,/taxonomy/term/333
taxonomy/term/620,/taxonomy/term/335
taxonomy/term/621,/taxonomy/term/337
taxonomy/term/622,/taxonomy/term/334
taxonomy/term/623,/taxonomy/term/338
taxonomy/term/624,/taxonomy/term/339
taxonomy/term/625,/taxonomy/term/340
taxonomy/term/626,/taxonomy/term/343
taxonomy/term/627,/taxonomy/term/342
taxonomy/term/628,/taxonomy/term/341
taxonomy/term/629,/taxonomy/term/344
taxonomy/term/630,/taxonomy/term/345
taxonomy/term/631,/taxonomy/term/346
taxonomy/term/632,/taxonomy/term/347
taxonomy/term/633,/taxonomy/term/348
taxonomy/term/634,/taxonomy/term/351
taxonomy/term/635,/taxonomy/term/355
taxonomy/term/636,/taxonomy/term/354
taxonomy/term/637,/taxonomy/term/349
taxonomy/term/638,/taxonomy/term/350
taxonomy/term/639,/taxonomy/term/357
taxonomy/term/640,/taxonomy/term/358
taxonomy/term/641,/taxonomy/term/359
taxonomy/term/642,/taxonomy/term/361
taxonomy/term/643,/taxonomy/term/362
taxonomy/term/644,/taxonomy/term/364
taxonomy/term/645,/taxonomy/term/365
taxonomy/term/646,/taxonomy/term/366
taxonomy/term/647,/taxonomy/term/370
taxonomy/term/648,/taxonomy/term/369
taxonomy/term/649,/taxonomy/term/368
taxonomy/term/650,/taxonomy/term/371
taxonomy/term/651,/taxonomy/term/373
taxonomy/term/652,/taxonomy/term/374
taxonomy/term/653,/taxonomy/term/449
taxonomy/term/654,/taxonomy/term/448
taxonomy/term/655,/taxonomy/term/451
taxonomy/term/656,/taxonomy/term/450
taxonomy/term/657,/taxonomy/term/452
taxonomy/term/658,/taxonomy/term/454
taxonomy/term/659,/taxonomy/term/453
taxonomy/term/660,/taxonomy/term/456
taxonomy/term/661,/taxonomy/term/455
